ID;Empresa ;Barrio / Zona;Comuna;Día de Recolección;Hora Estimada;Medio de recolección 
1;SEA EJE CAFETERO S.A.S E.S.P ;Guadalupe;12;Lunes ;9:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
2;SEA EJE CAFETERO S.A.S E.S.P ;Buenos Aires;6;Lunes ;9:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
3;SEA EJE CAFETERO S.A.S E.S.P ;La pradera;5;Miercoles;8:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
4;SEA EJE CAFETERO S.A.S E.S.P ;Valher;2;Miercoles;8:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
5;SEA EJE CAFETERO S.A.S E.S.P ;Santa teresita ;11;Jueves;8:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
6;SEA EJE CAFETERO S.A.S E.S.P ;Los naranjos ;11;Jueves;8:00 am - 4:45 pm;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
7;SEA EJE CAFETERO S.A.S E.S.P ;San fernando ;12;Viernes;9:30 am - 11:00 am;"vehículo HYUNDAI H-100 de placas USE 634 modelo 2010 con
capacidad de 2 toneladas"
